REF_DATE,GEO,DGUID,Age group,Sex,Income source,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,3982,A,,,0
2018,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,4079,A,,,0
2019,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,4143,A,,,0
2020,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,4201,A,,,0
2021,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,4277,A,,,0
2022,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,4341,A,,,0
2023,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107682455,13.1.1.1.2,4471,A,,,0
2000,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107682456,13.1.1.1.3,140908,A,,,0
2001,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107682456,13.1.1.1.3,144542,A,,,0
2002,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107682456,13.1.1.1.3,149051,A,,,0
2003,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107682456,13.1.1.1.3,147564,A,,,0
2004,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107682456,13.1.1.1.3,154987,A,,,0
2005,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107682456,13.1.1.1.3,162222,A,,,0
2006,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107682456,13.1.1.1.3,164387,A,,,0
2007,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107682456,13.1.1.1.3,172618,A,,,0
2008,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107682456,13.1.1.1.3,181332,A,,,0
2009,British Columbia,2021A000259,15 years and over,Both sexes,Total income,Aggregate income,2023 constant dollars,449,millions,6,v107682456,13.1.1.1.3,177914,A,,,0
